phylum;class;order;family;genus;species;specificEpithet;sex;sampleSizeValue;inTextReference;publicationYear;fullReference;body_mass;body_mass___units;body_mass___minimum;body_mass___maximum;body_mass___method;body_mass___comments;body_mass___metadata_comment;original_body_mass;original_body_mass___units;metabolic_rate;metabolic_rate___units;metabolic_rate___minimum;metabolic_rate___maximum;metabolic_rate___method;metabolic_rate___comments;metabolic_rate___metadata_comment;original_metabolic_rate;original_metabolic_rate___units;original_respiratoryQuotient;original_temperature;mass_specific_metabolic_rate;mass_specific_metabolic_rate___units;brain_size;brain_size___units;brain_size___minimum;brain_size___maximum;brain_size___method;brain_size___comments;brain_size___metadata_comment;original_brain_size;original_brain_size___units
Chordata;Amphibia;Anura;Hylidae;Hyla;Hyla_versicolor;versicolor;;1;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.01315;kg;;;;;;13.15;g;;;;;;;;;;;;;;4.225844e_05;kg;;;histological_reconstruction;total_brain_volume_;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";40.79;mm3
Chordata;Amphibia;Anura;Hylidae;Pseudacris;Pseudacris_triseriata;triseriata;;3;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;1e_04;kg;;;;;;0.1;g;;;;;;;;;;;;;;2.25848e_06;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";2.18;mm3
Chordata;Amphibia;Anura;Hylidae;Acris;Acris_crepitans;crepitans;;3;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;3e_04;kg;;;;;;0.3;g;;;;;;;;;;;;;;4.43408e_06;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";4.28;mm3
Chordata;Amphibia;Anura;Ceratobatrachidae;Platymantis;Platymantis_vitiensis;vitiensis;;1;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;3e_04;kg;;;;;;0.3;g;;;;;;;;;;;;;;4.93136e_06;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";4.76;mm3
Chordata;Amphibia;Anura;Ranidae;Rana;Rana_sylvatica;sylvatica;;3;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.00037;kg;;;;;;0.37;g;;;;;;;;;;;;;;8.56772e_06;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";8.27;mm3
Chordata;Amphibia;Anura;Ranidae;Rana;Rana_pipiens;pipiens;;3;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.0011;kg;;;;;;1.1;g;;;;;;;;;;;;;;2.03574e_05;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";19.65;mm3
Chordata;Amphibia;Anura;Ranidae;Rana;Rana_clamitans;clamitans;;3;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.00362;kg;;;;;;3.62;g;;;;;;;;;;;;;;3.915044e_05;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";37.79;mm3
Chordata;Amphibia;Anura;Pipidae;Xenopus;Xenopus_laevis;laevis;;1;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.03237;kg;;;;;;32.37;g;;;;;;;;;;;;;;5.137524e_05;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";49.59;mm3
Chordata;Amphibia;Anura;Rhionphrynidae;Rhinophrynus;Rhinophrynus_dorsalis;dorsalis;;1;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.01657;kg;;;;;;16.57;g;;;;;;;;;;;;;;3.292408e_05;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";31.78;mm3
Arthropoda;Arachnida;Araneae;Ctenidae;Cupiennius;Cupiennius_salei;salei;;5;Weltzien_&_Barth,_1991;1991;Peter,_W.,_&_Barth,_F._G._(1991)._Volumetric_measurements_do_not_demonstrate_that_the_spider_brain_“central_body”_has_a_special_role_in_web_building._Journal_of_Morphology,_208(1),_91_98._doi:10.1002/jmor.1052080104;;;;;;;;;;;;;;;;;;;;;;;2.50712e_07;kg;;;histological_reconstruction;;cross_sctions_were_horizontally_aligned_and_measured_with_microscopic_device;2.42e+08;um3
